"CollectedDate","Path","Title","TotalViews","UniqueVisitors"
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",35,10
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",19,5
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",14,4
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",10,4
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",162,63
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",67,3
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",31,10
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",12,4
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",11,4
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",9,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",162,63
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",67,3
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",31,10
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",12,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",11,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",9,4
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",204,91
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",78,4
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",25,11
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",21,10
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
